organisationunitname,region_malaria,zone_malaria,normalized,top3_candidates,ADM3_PCODE_suggested,ADM3_PCODE_final,note
Shabe Sombo Woreda,Oromia Region,Jimma Zone,shabe sombo,Shebe Sambo|Oromia/Jimma|ET040414|score=81 ;; Ambo town|Oromia/West Shewa|ET040515|score=77 ;; Shambu town|Oromia/Horo Gudru Wellega|ET041902|score=72,,ET040414,auto:in_region(score=81) -> Shebe Sambo
Sokoru Woreda,Oromia Region,Jimma Zone,sokoru,[SUGGESTED] Sekoru|Oromia/Jimma|ET040403|score=83 ;; Sekoru|Oromia/Jimma|ET040403|score=83 ;; Kori|Afar/Awsi /Zone 1|ET020108|score=67 ;; Kore|Oromia/West Arsi|ET041705|score=67,ET040403,ET040403,auto:suggested(82-87)
Dambi Dollo Woreda,Oromia Region,Kelem Wellega Zone,dambi dollo,Denbi Dollo town|Oromia/Kelem Wellega|ET041806|score=81 ;; Dama|Oromia/Guji|ET041408|score=77 ;; Bidu|Afar/Kilbati /Zone2|ET020208|score=67,,ET041806,auto:in_region(score=81) -> Denbi Dollo town
Sadi Chanka Woreda,Oromia Region,Kelem Wellega Zone,sadi chanka,Sedi Chenka|Oromia/Kelem Wellega|ET041812|score=81 ;; Hanruka|Afar/Gabi /Zone 3|ET020307|score=75 ;; Chwaka|Oromia/Buno Bedele|ET041623|score=75,,ET041812,auto:in_region(score=81) -> Sedi Chenka
Adele Sub City,Oromia Region,Maya Town,adele,Hadelela|Afar/Hari /Zone 5|ET020505|score=90 ;; Adete town|Amhara/West Gojam|ET030799|score=80 ;; Chora (Buno Bedele)|Oromia/Buno Bedele|ET041603|score=80,,ET041603,auto:in_region(score=80) -> Chora (Buno Bedele)
Haramaya Subcity,Oromia Region,Maya Town,haramaya,[SUGGESTED] Haromaya town|Oromia/East Hararge|ET041019|score=87 ;; Rama|Tigray/Central|ET010214|score=90 ;; Hara town|Amhara/North Wello|ET030306|score=90 ;; Haromaya town|Oromia/East Hararge|ET041019|score=87,ET041019,ET041019,auto:suggested(82-87)
Berek Woreda,Oromia Region,North Shewa Zone,berek,Bereh|Oromia/Finfine Special|ET042011|score=80 ;; Mierab Azenet Berbere|Central Ethiopia/Siltie|ET072004|score=80 ;; Misrak Azenet Berbere|Central Ethiopia/Siltie|ET072007|score=80,,ET042011,auto:in_region(score=80) -> Bereh
Chancho Town,Oromia Region,North Shewa Zone,chancho,Mancho|Oromia/Jimma|ET040490|score=76 ;; Chencha|Southern Ethiopi/Gamo|ET071010|score=71 ;; Shinshincho town|Central Ethiopia/Kembata Tembaro|ET070310|score=69,,ET040490,auto:in_region(score=76) -> Mancho
Gebra Guracha Town,Oromia Region,North Shewa Zone,gebra guracha,Wacha|South West Ethiopia/Kefa|ET110214|score=80 ;; Bishan Guracha|Oromia/West Arsi|ET041798|score=74 ;; Anchar|Oromia/West Hararge|ET040906|score=72,,ET041798,auto:in_region(score=74) -> Bishan Guracha
Lega Tafo Lega Dadhi Town Woreda,Oromia Region,North Shewa Zone,lega tafo lega dadhi,[SUGGESTED] Lege Tafo-Lege Dadi town|Oromia/Finfine Special|ET042004|score=87 ;; Lege Tafo-Lege Dadi town|Oromia/Finfine Special|ET042004|score=87 ;; Ale|Oromia/Ilu Aba Bora|ET040311|score=72 ;; Megale|Afar/Kilbati /Zone2|ET020204|score=71,ET042004,ET042004,auto:suggested(82-87)
Were Jarso Woreda,Oromia Region,North Shewa Zone,were jarso,[SUGGESTED] Jarso (West Wellega)|Oromia/West Wellega|ET040108|score=85 ;; Jarso (West Wellega)|Oromia/West Wellega|ET040108|score=85 ;; Jarso (East Hararghe)|Oromia/East Hararge|ET041002|score=85 ;; Wara Jarso|Oromia/North Shewa (OR)|ET040601|score=80,ET040108,ET040108,auto:suggested(82-87)
Furi Sub City,Oromia Region,Shagar City,furi,Dessie Zuria|Amhara/South Wello|ET030409|score=67 ;; Bahirdar Zuria|Amhara/West Gojam|ET030702|score=67 ;; Quarit|Amhara/West Gojam|ET030706|score=67,,,auto:no_match_above_floor -> null climate
Gafarsa Guje Sub City,Oromia Region,Shagar City,gafarsa guje,Farta|Amhara/South Gondar|ET030204|score=72 ;; Agarfa|Oromia/Bale|ET041104|score=72 ;; Awra (TG)|Tigray/Western|ET010507|score=67,,ET041104,auto:in_region(score=72) -> Agarfa
Laga Tafo Laga Dadhi Sub City,Oromia Region,Shagar City,laga tafo laga dadhi,Lege Tafo-Lege Dadi town|Oromia/Finfine Special|ET042004|score=78 ;; Chila|Tigray/Central|ET010201|score=68 ;; Adwa|Tigray/Central|ET010204|score=67,,ET042004,auto:in_region(score=78) -> Lege Tafo-Lege Dadi town
Mana Abichu Sub City,Oromia Region,Shagar City,mana abichu,Zana|Tigray/North Western|ET010103|score=73 ;; Ada'a|Oromia/East Shewa|ET040706|score=72 ;; Mana Sibu|Oromia/West Wellega|ET040101|score=70,,ET040706,auto:in_region(score=72) -> Ada'a
Amaya Woreda,Oromia Region,South West Shewa Zone,amaya,Haro Maya|Oromia/East Hararge|ET041006|score=80 ;; Haromaya town|Oromia/East Hararge|ET041019|score=80 ;; Ameya|Oromia/South West Shewa|ET041301|score=80,,ET041006,auto:in_region(score=80) -> Haro Maya
Kersa Mamila Woreda,Oromia Region,South West Shewa Zone,kersa mamila,[SUGGESTED] Kersa (East Hararge)|Oromia/East Hararge|ET041008|score=85 ;; Kersa (East Hararge)|Oromia/East Hararge|ET041008|score=85 ;; Kersa (Jimma)|Oromia/Jimma|ET040405|score=78 ;; Dila town|Southern Ethiopi/Gedeo|ET070507|score=77,ET041008,ET041008,auto:suggested(82-87)
Wonchi Woreda,Oromia Region,South West Shewa Zone,wonchi,[SUGGESTED] Wenchi|Oromia/South West Shewa|ET041302|score=83 ;; Wenchi|Oromia/South West Shewa|ET041302|score=83 ;; Goncha Siso Enebse|Amhara/East Gojam|ET030603|score=65 ;; Tikur Enchini|Oromia/West Shewa|ET040509|score=62,ET041302,ET041302,auto:suggested(82-87)
Nansebo Woreda,Oromia Region,West Arsi Zone,nansebo,Nenesebo|Oromia/West Arsi|ET041709|score=80 ;; Aseko|Oromia/Arsi|ET040802|score=66 ;; Zana|Tigray/North Western|ET010103|score=60,,ET041709,auto:in_region(score=80) -> Nenesebo
Gelemso Town,Oromia Region,West Hararge Zone,gelemso,Lemmo|Central Ethiopia/Hadiya|ET070203|score=66 ;; Arsi Negele|Oromia/West Arsi|ET041703|score=65 ;; Gilgel Beles town|Benishangul Gumz/Metekel|ET060200|score=65,,,auto:no_match_above_floor -> null climate
Guba Qoricha Woreda,Oromia Region,West Hararge Zone,guba qoricha,[SUGGESTED] Goba Koricha|Oromia/West Hararge|ET040907|score=83 ;; Guba|Benishangul Gumz/Metekel|ET060202|score=90 ;; Goba Koricha|Oromia/West Hararge|ET040907|score=83 ;; Boricha|Sidama/Sidama|ET160010|score=83,ET040907,ET040907,auto:suggested(82-87)
Hirna Town,Oromia Region,West Hararge Zone,hirna,Chifra|Afar/Awsi /Zone 1|ET020106|score=72 ;; Shirka|Oromia/Arsi|ET040814|score=72 ;; Siya Debirna Wayu|Amhara/North Shewa (AM)|ET030523|score=72,,ET040814,auto:in_region(score=72) -> Shirka
Mechara Micheta Town,Oromia Region,West Hararge Zone,mechara micheta,Hara town|Amhara/North Wello|ET030306|score=90 ;; Mecha|Amhara/West Gojam|ET030704|score=90 ;; Cheta|South West Ethiopia/Kefa|ET110207|score=90,,ET030306,auto:global(score=90) -> Hara town
Elfata Woreda,Oromia Region,West Shewa Zone Health Office,elfata,Zata|Tigray/Southern|ET010413|score=77 ;; Delanta|Amhara/South Wello|ET030406|score=76 ;; Farta|Amhara/South Gondar|ET030204|score=72,,,auto:no_match_above_floor -> null climate
Walmara Woreda,Oromia Region,West Shewa Zone Health Office,walmara,Awra (TG)|Tigray/Western|ET010507|score=77 ;; Hara town|Amhara/North Wello|ET030306|score=77 ;; Dara|Sidama/Sidama|ET160006|score=77,,,auto:no_match_above_floor -> null climate
Boji Choqorsa Woreda,Oromia Region,West Wollega Zone,boji choqorsa,[SUGGESTED] Boji Chekorsa|Oromia/West Wellega|ET040110|score=84 ;; Boji Chekorsa|Oromia/West Wellega|ET040110|score=84 ;; Bekoji town|Oromia/Arsi|ET040894|score=72 ;; Bora (TG)|Tigray/Southern|ET010402|score=67,ET040110,ET040110,auto:suggested(82-87)
Mene Sibu Woreda,Oromia Region,West Wollega Zone,mene sibu,Menge|Benishangul Gumz/Assosa|ET060301|score=80 ;; Mana Sibu|Oromia/West Wellega|ET040101|score=77 ;; Bui town|Central Ethiopia/Guraghe|ET070117|score=72,,ET040101,auto:in_region(score=77) -> Mana Sibu
Nedjo Rural Woreda,Oromia Region,West Wollega Zone,nedjo rural,Ale|Oromia/Ilu Aba Bora|ET040311|score=72 ;; Nejo|Oromia/West Wellega|ET040102|score=67 ;; Dedo|Oromia/Jimma|ET040410|score=67,,ET040311,auto:in_region(score=72) -> Ale
Qondala Woreda,Oromia Region,West Wollega Zone,qondala,Zala|Southern Ethiopi/Gofa|ET071503|score=77 ;; Dama|Oromia/Guji|ET041408|score=67 ;; Dila town|Southern Ethiopi/Gedeo|ET070507|score=67,,,auto:no_match_above_floor -> null climate
Weliso Town Woreda,Oromia Region,Woliso Town,weliso,[SUGGESTED] Waliso|Oromia/South West Shewa|ET041303|score=83 ;; Waliso|Oromia/South West Shewa|ET041303|score=83 ;; Woliso town|Oromia/South West Shewa|ET041311|score=83 ;; Aseliso|Dire Dawa/Dire Dawa rural|ET150201|score=76,ET041303,ET041303,auto:suggested(82-87)
Wensho Woreda,Sidama Region,Central Sidama Zone,wensho,Wonosho|Sidama/Sidama|ET160013|score=76 ;; Ensaro|Amhara/North Shewa (AM)|ET030503|score=66 ;; Dinsho|Oromia/Bale|ET041122|score=66,,ET160013,auto:in_region(score=76) -> Wonosho
Daya Town,Sidama Region,Eastern Sidama Zone,daya,Haro Maya|Oromia/East Hararge|ET041006|score=77 ;; Haromaya town|Oromia/East Hararge|ET041019|score=77 ;; Aweday town|Oromia/East Hararge|ET041099|score=77,,,auto:no_match_above_floor -> null climate
Tula Woreda,Sidama Region,Hawassa City Administration,tula,Tulefa town|Amhara/North Shewa (AM)|ET030524|score=80 ;; Tulu Awlia|Amhara/South Wello|ET030428|score=77 ;; Tuliguled|Somali/Fafan|ET050283|score=77,,,auto:no_match_above_floor -> null climate
Melga Woreda,Sidama Region,Northern Sidama Zone,melga,Malga|Sidama/Sidama|ET160012|score=80 ;; Tanqua Melashe|Tigray/Central|ET010222|score=76 ;; Megale|Afar/Kilbati /Zone2|ET020204|score=72,,ET160012,auto:in_region(score=80) -> Malga
Chareti Woreda,Somali Region,Afder Zone,chareti,[SUGGESTED] Charati|Somali/Afder|ET050802|score=85 ;; Charati|Somali/Afder|ET050802|score=85 ;; Arerti town|Amhara/North Shewa (AM)|ET030525|score=76 ;; Saharti|Tigray/South Eastern|ET010601|score=71,ET050802,ET050802,auto:suggested(82-87)
Dollo bay Woreda,Somali Region,Afder Zone,dollo bay,[SUGGESTED] Dolobay|Somali/Afder|ET050808|score=87 ;; Dolobay|Somali/Afder|ET050808|score=87 ;; Dolo Ado|Somali/Liban|ET050902|score=70 ;; Denbi Dollo town|Oromia/Kelem Wellega|ET041806|score=67,ET050808,ET050808,auto:suggested(82-87)
Elkari Woreda,Somali Region,Afder Zone,elkari,Elkare /Serer|Somali/Afder|ET050804|score=81 ;; Welkait|Tigray/Western|ET010502|score=76 ;; Melka Balo|Oromia/East Hararge|ET041012|score=68,,ET050804,auto:in_region(score=81) -> Elkare /Serer
Qooxle Woreda,Somali Region,Afder Zone,qooxle,Kohle /Qoxle|Somali/Afder|ET050898|score=81 ;; Ale|Oromia/Ilu Aba Bora|ET040311|score=72 ;; Tole|Oromia/South West Shewa|ET041308|score=67,,ET050898,auto:in_region(score=81) -> Kohle /Qoxle
West Imay Woreda,Somali Region,Afder Zone,west imay,[SUGGESTED] West Imi|Somali/Afder|ET050805|score=82 ;; Andabet/ West Esite|Amhara/South Gondar|ET030211|score=85 ;; Jarso (West Wellega)|Oromia/West Wellega|ET040108|score=85 ;; Gelana (West Guji)|Oromia/West Guji|ET041517|score=85,ET050805,ET050805,auto:suggested(82-87)
Kadadumo Woreda,Somali Region,Dawa Zone,kadadumo,Qada Duma|Somali/Daawa|ET051198|score=70 ;; Adwa|Tigray/Central|ET010204|score=67 ;; Axum town|Tigray/Central|ET010213|score=67,,ET051198,auto:in_region(score=70) -> Qada Duma
Mubarak Woreda,Somali Region,Dawa Zone,mubarak,[SUGGESTED] Mubarek|Somali/Daawa|ET051187|score=85 ;; Mubarek|Somali/Daawa|ET051187|score=85 ;; Amibara|Afar/Gabi /Zone 3|ET020301|score=71 ;; Bora (TG)|Tigray/Southern|ET010402|score=67,ET051187,ET051187,auto:suggested(82-87)
Danot Woreda,Somali Region,Dollo Zone,danot,Dano|Oromia/West Shewa|ET040507|score=88 ;; Angot|Amhara/North Wello|ET030313|score=80 ;; Danod|Somali/Doolo|ET050701|score=80,,ET050701,auto:in_region(score=80) -> Danod
Hamaro Woreda,Somali Region,Erar Zone,hamaro,[SUGGESTED] Hamero|Somali/Erer|ET050404|score=83 ;; Amaro|Southern Ethiopi/Amaro|ET072102|score=90 ;; Hamero|Somali/Erer|ET050404|score=83 ;; Agaro town|Oromia/Jimma|ET040417|score=72,ET050404,ET050404,auto:suggested(82-87)
Mayumuluqo Woreda,Somali Region,Erar Zone,mayumuluqo,Meyumuluka|Somali/Erer|ET050408|score=70 ;; Axum town|Tigray/Central|ET010213|score=67 ;; Yayu|Oromia/Ilu Aba Bora|ET040309|score=67,,ET050408,auto:in_region(score=70) -> Meyumuluka
Harorays Woreda,Somali Region,Fafan Zone,harorays,[SUGGESTED] Haroreys|Somali/Fafan|ET050298|score=87 ;; Haroreys|Somali/Fafan|ET050298|score=87 ;; Habro|Oromia/West Hararge|ET040908|score=80 ;; Hara town|Amhara/North Wello|ET030306|score=77,ET050298,ET050298,auto:suggested(82-87)
Qabribayah Woreda,Somali Region,Fafan Zone,qabribayah,Kebribayah town|Somali/Fafan|ET050296|score=80 ;; Abaya|Oromia/West Guji|ET041513|score=72 ;; Kebribeyah|Somali/Fafan|ET050206|score=70,,ET050296,auto:in_region(score=80) -> Kebribayah town
Qabribayah town Woreda,Somali Region,Fafan Zone,qabribayah,Kebribayah town|Somali/Fafan|ET050296|score=80 ;; Abaya|Oromia/West Guji|ET041513|score=72 ;; Kebribeyah|Somali/Fafan|ET050206|score=70,,ET050296,auto:in_region(score=80) -> Kebribayah town
babili Woreda,Somali Region,Fafan Zone,babili,Babile town|Oromia/East Hararge|ET041000|score=83 ;; Babile (SM)|Somali/Fafan|ET050203|score=81 ;; Babo|Oromia/West Wellega|ET040111|score=77,,ET050203,auto:in_region(score=81) -> Babile (SM)
Birqod Woreda,Somali Region,Jarar Zone,birqod,[SUGGESTED] Burqod|Somali/Jarar|ET050394|score=83 ;; Burqod|Somali/Jarar|ET050394|score=83 ;; Bui town|Central Ethiopia/Guraghe|ET070117|score=72 ;; Bidu|Afar/Kilbati /Zone2|ET020208|score=60,ET050394,ET050394,auto:suggested(82-87)
Dhagahmadaw Woreda,Somali Region,Jarar Zone,dhagahmadaw,Dawe|Afar/Hari /Zone 5|ET020503|score=77 ;; Dhas|Oromia/Borena|ET041220|score=77 ;; Dawo|Oromia/South West Shewa|ET041304|score=77,,,auto:no_match_above_floor -> null climate
Bodalay Woreda,Somali Region,Korahay Zone,bodalay,[SUGGESTED] Bodaley|Somali/Korahe|ET050599|score=85 ;; Bodaley|Somali/Korahe|ET050599|score=85 ;; Bora (TG)|Tigray/Southern|ET010402|score=67 ;; Dama|Oromia/Guji|ET041408|score=67,ET050599,ET050599,auto:suggested(82-87)
Dhoboweyn Woreda,Somali Region,Korahay Zone,dhoboweyn,Kobo town|Amhara/North Wello|ET030399|score=67 ;; Doba|Oromia/West Hararge|ET040902|score=67 ;; Boke|Oromia/West Hararge|ET040910|score=67,,,auto:no_match_above_floor -> null climate
Shaykosh Woreda,Somali Region,Korahay Zone,shaykosh,[SUGGESTED] Shaygosh|Somali/Korahe|ET050501|score=87 ;; Shaygosh|Somali/Korahe|ET050501|score=87 ;; Shashemene Zuria|Oromia/West Arsi|ET041712|score=69 ;; Shala|Oromia/West Arsi|ET041702|score=67,ET050501,ET050501,auto:suggested(82-87)
Gorabaqaqsa Woreda,Somali Region,Liben Zone,gorabaqaqsa,[SUGGESTED] Goro Baqaqsa|Somali/Liban|ET050903|score=86 ;; Goro Baqaqsa|Somali/Liban|ET050903|score=86 ;; Abaya|Oromia/West Guji|ET041513|score=72 ;; Gog|Gambela/Agnewak|ET120203|score=72,ET050903,ET050903,auto:suggested(82-87)
Karsasula Woreda,Somali Region,Liben Zone,karsasula,Asela town|Oromia/Arsi|ET040825|score=72 ;; Karat town|Southern Ethiopi/Konso|ET071301|score=72 ;; Awra (TG)|Tigray/Western|ET010507|score=67,,,auto:no_match_above_floor -> null climate
Duhun Woreda,Somali Region,Nogob Zone,duhun,Dihun|Somali/Nogob|ET051006|score=80 ;; Duguna Fango|Southern Ethiopi/Wolayita|ET070612|score=72 ;; Duna|Central Ethiopia/Hadiya|ET070207|score=66,,ET051006,auto:in_region(score=80) -> Dihun
Abaqaraw woreda,Somali Region,Shebelle Zone,abaqaraw,Quara|Amhara/West Gondar|ET031214|score=72 ;; Abaya|Oromia/West Guji|ET041513|score=72 ;; Abaala|Afar/Kilbati /Zone2|ET020203|score=71,,,auto:no_match_above_floor -> null climate
Berano Woreda,Somali Region,Shebelle Zone,berano,[SUGGESTED] Berocano|Somali/Shabelle|ET050608|score=85 ;; Berocano|Somali/Shabelle|ET050608|score=85 ;; Bero|South West Ethiopia/Mirab Omo|ET110505|score=80 ;; Dano|Oromia/West Shewa|ET040507|score=77,ET050608,ET050608,auto:suggested(82-87)
East Imey Woreda,Somali Region,Shebelle Zone,east imey,[SUGGESTED] East Imi|Somali/Shabelle|ET050601|score=82 ;; Jarso (East Hararghe)|Oromia/East Hararge|ET041002|score=85 ;; Kersa (East Hararge)|Oromia/East Hararge|ET041008|score=85 ;; East Imi|Somali/Shabelle|ET050601|score=82,ET050601,ET050601,auto:suggested(82-87)
Elele Woreda,Somali Region,Shebelle Zone,elele,Chelelektu town|Southern Ethiopi/Gedeo|ET070508|score=90 ;; Yaya Gulele|Oromia/North Shewa (OR)|ET040614|score=80 ;; Yama Logi Welel|Oromia/Kelem Wellega|ET041802|score=80,,ET070508,auto:global(score=90) -> Chelelektu town
Qalafo Woreda,Somali Region,Shebelle Zone,qalafo,Ejersa Lafo|Oromia/West Shewa|ET040590|score=75 ;; Zala|Southern Ethiopi/Gofa|ET071503|score=67 ;; Kelafo|Somali/Shabelle|ET050605|score=66,,,auto:no_match_above_floor -> null climate
Afdam Woreda,Somali Region,Sitti Zone,afdam,Adama|Oromia/East Shewa|ET040703|score=80 ;; Adama Tulu Jido Kombolcha|Oromia/East Shewa|ET040708|score=80 ;; Afdem|Somali/Siti|ET050105|score=80,,ET050105,auto:in_region(score=80) -> Afdem
Danbal Woreda,Somali Region,Sitti Zone,danbal,Dano|Oromia/West Shewa|ET040507|score=77 ;; Dabat|Amhara/North Gondar|ET030105|score=72 ;; Adaba|Oromia/West Arsi|ET041710|score=72,,,auto:no_match_above_floor -> null climate
Daymeed Woreda,Somali Region,Sitti Zone,daymeed,Daye town|Sidama/Sidama|ET160030|score=77 ;; Dama|Oromia/Guji|ET041408|score=67 ;; Adiss Kidame town|Amhara/Awi|ET030910|score=65,,,auto:no_match_above_floor -> null climate
Dhunyar Woho,Somali Region,Sitti Zone,dhunyar,Duna|Central Ethiopia/Hadiya|ET070207|score=72 ;; Guna|Oromia/Arsi|ET040819|score=67 ;; Dihun|Somali/Nogob|ET051006|score=66,,,auto:no_match_above_floor -> null climate
Maeso Woreda,Somali Region,Sitti Zone,maeso,Mieso|Oromia/West Hararge|ET040901|score=80 ;; Miesso|Somali/Siti|ET050107|score=72 ;; Mareko|Central Ethiopia/Guraghe|ET070107|score=72,,ET050107,auto:in_region(score=72) -> Miesso
Baka Dawula Woreda,South Ethiopia Region,Aari Zone,baka dawula,Boko Dawula|Southern Ethiopi/South Omo|ET070710|score=81 ;; Sawla town|Southern Ethiopi/Gofa|ET071507|score=72 ;; Ada'a|Oromia/East Shewa|ET040706|score=68,,ET070710,auto:in_region(score=81) -> Boko Dawula
