organisationunitname,region_malaria,zone_malaria,normalized,top3_candidates,ADM3_PCODE_suggested,ADM3_PCODE_final,note
Gazer Town Administration,South Ethiopia Region,Aari Zone,gazer,Gasera|Oromia/Bale|ET041106|score=72 ;; Gedebano Gutazer Welene|Central Ethiopia/Guraghe|ET070104|score=72 ;; Geraleta|Tigray/Eastern|ET010317|score=67,,,auto:no_match_above_floor -> null climate
Gelila Town Administration,South Ethiopia Region,Aari Zone,gelila,Dila town|Southern Ethiopi/Gedeo|ET070507|score=77 ;; Egela|Tigray/Central|ET010216|score=72 ;; Kinfaz Begela|Amhara/Central Gondar|ET031122|score=72,,ET070507,auto:in_region(score=77) -> Dila town
Woba Ari Woreda,South Ethiopia Region,Aari Zone,woba ari,Wub Ari|Southern Ethiopi/South Omo|ET070711|score=80 ;; Doba|Oromia/West Hararge|ET040902|score=73 ;; Goba (OR)|Oromia/Bale|ET041110|score=73,,ET070711,auto:in_region(score=80) -> Wub Ari
Kolango Town Administration,South Ethiopia Region,Ale Zone,kolango,Gog|Gambela/Agnewak|ET120203|score=72 ;; Goljano|Somali/Fafan|ET050290|score=71 ;; Ofla|Tigray/Southern|ET010408|score=67,,,auto:no_match_above_floor -> null climate
Kolango Zuria Woreda,South Ethiopia Region,Ale Zone,kolango zuria,Angot|Amhara/North Wello|ET030313|score=72 ;; Ambo Zuria|Oromia/West Shewa|ET040503|score=69 ;; Dila Zuria|Southern Ethiopi/Gedeo|ET070505|score=69,,,auto:no_match_above_floor -> null climate
Laska Town Administration,South Ethiopia Region,Basketo Zone,laska,Lasta|Amhara/North Wello|ET030310|score=80 ;; Damot Pullasa|Southern Ethiopi/Wolayita|ET070611|score=80 ;; Gedeb Asasa|Oromia/West Arsi|ET041706|score=67,,ET070611,auto:in_region(score=80) -> Damot Pullasa
Laska Zuria Woreda,South Ethiopia Region,Basketo Zone,laska zuria,Dila Zuria|Southern Ethiopi/Gedeo|ET070505|score=76 ;; Hawassa Zuria|Sidama/Sidama|ET160002|score=75 ;; Karat Zuria|Southern Ethiopi/Konso|ET071303|score=72,,ET070505,auto:in_region(score=76) -> Dila Zuria
Soyama Town Administration,South Ethiopia Region,Burji Zone,soyama,Rama|Tigray/Central|ET010214|score=77 ;; Jama|Amhara/South Wello|ET030414|score=77 ;; Dama|Oromia/Guji|ET041408|score=77,,,auto:no_match_above_floor -> null climate
Soyama Zuria Woreda,South Ethiopia Region,Burji Zone,soyama zuria,Ambo Zuria|Oromia/West Shewa|ET040503|score=72 ;; Sodo Zuria|Southern Ethiopi/Wolayita|ET070605|score=72 ;; Bona Zuria|Sidama/Sidama|ET160017|score=72,,ET070605,auto:in_region(score=72) -> Sodo Zuria
Birbir Town Administration,South Ethiopia Region,Gamo Zone,birbir,Birbirsa Kojowa|Oromia/West Guji|ET041596|score=90 ;; Bui town|Central Ethiopia/Guraghe|ET070117|score=72 ;; Limu Bilbilo|Oromia/Arsi|ET040818|score=62,,ET041596,auto:global(score=90) -> Birbirsa Kojowa
Kamba Town Administration,South Ethiopia Region,Gamo Zone,kamba,Amba Giorgis town|Amhara/Central Gondar|ET031103|score=80 ;; Nole Kaba|Oromia/West Wellega|ET040115|score=80 ;; Kemba|Southern Ethiopi/Gamo|ET071011|score=80,,ET071011,auto:in_region(score=80) -> Kemba
Kamba Zuria Woreda,South Ethiopia Region,Gamo Zone,kamba zuria,Ambo Zuria|Oromia/West Shewa|ET040503|score=85 ;; Gambela Zuria|Gambela/Agnewak|ET120202|score=83 ;; Karat Zuria|Southern Ethiopi/Konso|ET071303|score=81,,ET071303,auto:in_region(score=81) -> Karat Zuria
Zefine Town Administration,South Ethiopia Region,Gamo Zone,zefine,Gelana (Finfine)|Oromia/Finfine Special|ET042098|score=72 ;; Mierab Azenet Berbere|Central Ethiopia/Siltie|ET072004|score=62 ;; Misrak Azenet Berbere|Central Ethiopia/Siltie|ET072007|score=62,,,auto:no_match_above_floor -> null climate
Gidole Town Administration,South Ethiopia Region,Gardula Zone,gidole,Tole|Oromia/South West Shewa|ET041308|score=77 ;; Bole|Addis Ababa/Region 14|ET140104|score=77 ;; Gudetu Kondole|Oromia/West Wellega|ET040109|score=72,,,auto:no_match_above_floor -> null climate
Choriso Woreda,South Ethiopia Region,Gedeo Zone,choriso,Churso|Southern Ethiopi/Gedeo|ET070510|score=76 ;; Horo|Oromia/Horo Gudru Wellega|ET041901|score=72 ;; Kori|Afar/Awsi /Zone 1|ET020108|score=67,,ET070510,auto:in_region(score=76) -> Churso
Kochore Woreda,South Ethiopia Region,Gedeo Zone,kochore,[SUGGESTED] Kochere|Southern Ethiopi/Gedeo|ET070503|score=85 ;; Kochere|Southern Ethiopi/Gedeo|ET070503|score=85 ;; Bore|Oromia/Guji|ET041402|score=77 ;; Kore|Oromia/West Arsi|ET041705|score=77,ET070503,ET070503,auto:suggested(82-87)
Beto Town Administration,South Ethiopia Region,Gofa Zone,beto,Agew Gimija Bet|Amhara/Awi|ET030909|score=77 ;; Bero|South West Ethiopia/Mirab Omo|ET110505|score=75 ;; Dure Bete|Amhara/West Gojam|ET030719|score=73,,,auto:no_match_above_floor -> null climate
Bulki Town Administration,South Ethiopia Region,Gofa Zone,bulki,Bui town|Central Ethiopia/Guraghe|ET070117|score=75 ;; Bulike town|Southern Ethiopi/Gofa|ET071508|score=72 ;; Harena Buluk|Oromia/Bale|ET041111|score=72,,ET071508,auto:in_region(score=72) -> Bulike town
Galma Town Administration,South Ethiopia Region,Gofa Zone,galma,Hadhagala|Somali/Siti|ET050106|score=80 ;; Illu Galan|Oromia/West Shewa|ET040500|score=76 ;; Hawa Galan|Oromia/Kelem Wellega|ET041801|score=76,,,auto:no_match_above_floor -> null climate
Laha Town Administration,South Ethiopia Region,Gofa Zone,laha,Salahad|Somali/Erer|ET050403|score=90 ;; Tahtay Adiyabo|Tigray/North Western|ET010101|score=67 ;; Tahtay Koraro|Tigray/North Western|ET010104|score=67,,ET050403,auto:global(score=90) -> Salahad
Kolme Woreda,South Ethiopia Region,Konso Zone,kolme,Sherkole|Benishangul Gumz/Assosa|ET060304|score=80 ;; Kofele|Oromia/West Arsi|ET041704|score=72 ;; Kohle /Qoxle|Somali/Afder|ET050898|score=72,,,auto:no_match_above_floor -> null climate
Gorka Woreda,South Ethiopia Region,Koore zone,gorka,Gora Dola|Oromia/Guji|ET041413|score=80 ;; Gog|Gambela/Agnewak|ET120203|score=72 ;; Janamora|Amhara/North Gondar|ET030103|score=67,,,auto:no_match_above_floor -> null climate
Kele Town,South Ethiopia Region,Koore zone,kele,Kelete Awelallo|Tigray/Eastern|ET010306|score=90 ;; Kelela|Amhara/South Wello|ET030413|score=90 ;; Kofele|Oromia/West Arsi|ET041704|score=80,,ET010306,auto:global(score=90) -> Kelete Awelallo
Sarmale Woreda,South Ethiopia Region,Koore zone,sarmale,Ale|Oromia/Ilu Aba Bora|ET040311|score=90 ;; Alle Special|Southern Ethiopi/Alle|ET071205|score=77 ;; Dale|Sidama/Sidama|ET160004|score=77,,ET071205,auto:in_region(score=77) -> Alle Special
Gnangatom Woreda,South Ethiopia Region,South Omo Zone,gnangatom,[SUGGESTED] Nyngatom|Southern Ethiopi/South Omo|ET070708|score=82 ;; Nyngatom|Southern Ethiopi/South Omo|ET070708|score=82 ;; Guna|Oromia/Arsi|ET040819|score=77 ;; Gena|South West Ethiopia/Dawuro|ET110404|score=77,ET070708,ET070708,auto:suggested(82-87)
Turmi Town Administration,South Ethiopia Region,South Omo Zone,turmi,Kuni /Oda Bultum|Oromia/West Hararge|ET040911|score=67 ;; Dessie Zuria|Amhara/South Wello|ET030409|score=60 ;; Bahirdar Zuria|Amhara/West Gojam|ET030702|score=60,,,auto:no_match_above_floor -> null climate
Bele Hawassa Town,South Ethiopia Region,Wolaita Zone,bele hawassa,Hawasa town|Sidama/Sidama|ET160018|score=75 ;; Awash|Afar/Gabi /Zone 3|ET020302|score=72 ;; Bedele town|Oromia/Buno Bedele|ET041621|score=72,,ET160018,override: Hawasa town (Bele is a sub-unit of Hawassa)
Dimtu Town Administration,South Ethiopia Region,Wolaita Zone,dimtu,Darimu|Oromia/Ilu Aba Bora|ET040301|score=72 ;; Dig|Somali/Jarar|ET050399|score=72 ;; Haro Limu|Oromia/East Wellega|ET040204|score=67,,,auto:no_match_above_floor -> null climate
Offa Woreda,South Ethiopia Region,Wolaita Zone,offa,[SUGGESTED] Ofa|Southern Ethiopi/Wolayita|ET070607|score=85 ;; Ofa|Southern Ethiopi/Wolayita|ET070607|score=85 ;; Dewa Cheffa|Amhara/Oromia|ET031001|score=77 ;; Denba Gofa|Southern Ethiopi/Gofa|ET071502|score=77,ET070607,ET070607,auto:suggested(82-87)
North Bench Worda,South West Ethiopia Region,Bench Sheko Zone,north bench,Wenchi|Oromia/South West Shewa|ET041302|score=72 ;; North Ari|Southern Ethiopi/South Omo|ET070703|score=67 ;; Shay Bench|South West Ethiopia/Bench Sheko|ET110304|score=66,,,auto:no_match_above_floor -> null climate
Siz Town Administration,South West Ethiopia Region,Bench Sheko Zone,siz,[SUGGESTED] Size town|South West Ethiopia/Bench Sheko|ET110308|score=85 ;; Size town|South West Ethiopia/Bench Sheko|ET110308|score=85 ;; Endafelasi|Tigray/Central|ET010218|score=72 ;; Siya Debirna Wayu|Amhara/North Shewa (AM)|ET030523|score=72,ET110308,ET110308,auto:suggested(82-87)
South Bench Woreda,South West Ethiopia Region,Bench Sheko Zone,south bench,Shay Bench|South West Ethiopia/Bench Sheko|ET110304|score=76 ;; Wenchi|Oromia/South West Shewa|ET041302|score=72 ;; South Ari|Southern Ethiopi/South Omo|ET070702|score=67,,ET110304,auto:in_region(score=76) -> Shay Bench
Essera Bale Town Admnistration,South West Ethiopia Region,Dawro Zone,essera bale town admnistration,Mena (Bale)|Oromia/Bale|ET041112|score=85 ;; Goro (Bale)|Oromia/Bale|ET041116|score=85 ;; Gololcha Bale|Oromia/East Bale|ET042101|score=85,,ET041112,auto:global(score=85) -> Mena (Bale)
Kechi worda,South West Ethiopia Region,Dawro Zone,kechi,Gechi|Oromia/Buno Bedele|ET041606|score=80 ;; Kachi|South West Ethiopia/Dawuro|ET110406|score=80 ;; Wenchi|Oromia/South West Shewa|ET041302|score=72,,ET110406,auto:in_region(score=80) -> Kachi
Awurada Town Administration WOrHO,South West Ethiopia Region,Kaffa Zone,awurada,Arada|Addis Ababa/Region 14|ET140109|score=83 ;; Adwa|Tigray/Central|ET010204|score=77 ;; Adar|Afar/Awsi /Zone 1|ET020109|score=77,,,auto:no_match_above_floor -> null climate
Deka Town Administration,South West Ethiopia Region,Kaffa Zone,deka,Deka Suftu|Somali/Liban|ET050991|score=90 ;; Selekleka|Tigray/North Western|ET010109|score=77 ;; Limu Seka|Oromia/Jimma|ET040401|score=77,,ET050991,auto:global(score=90) -> Deka Suftu
Shishinda Town Administration,South West Ethiopia Region,Kaffa Zone,shishinda,Shinshincho town|Central Ethiopia/Kembata Tembaro|ET070310|score=70 ;; Shisho Ande|South West Ethiopia/Kefa|ET110213|score=70 ;; Jida|Oromia/North Shewa (OR)|ET040615|score=67,,ET110213,auto:in_region(score=70) -> Shisho Ande
Shishoinde Woreda,South West Ethiopia Region,Kaffa Zone,shishoinde,[SUGGESTED] Shisho Ande|South West Ethiopia/Kefa|ET110213|score=85 ;; Shisho Ande|South West Ethiopia/Kefa|ET110213|score=85 ;; Shone Town|Central Ethiopia/Hadiya|ET070212|score=72 ;; Sofi|Harari/Harari|ET130101|score=67,ET110213,ET110213,auto:suggested(82-87)
Tello Woreda,South West Ethiopia Region,Kaffa Zone,tello,Tullo|South West Ethiopia/Kefa|ET110206|score=80 ;; Kelete Awelallo|Tigray/Eastern|ET010306|score=67 ;; Denbi Dollo town|Oromia/Kelem Wellega|ET041806|score=67,,ET110206,auto:in_region(score=80) -> Tullo
Ameya Zuria woreda,South West Ethiopia Region,Konta Zone,ameya zuria,Ameya|Oromia/South West Shewa|ET041301|score=90 ;; Gambela Zuria|Gambela/Agnewak|ET120202|score=83 ;; Metu Zuria|Oromia/Ilu Aba Bora|ET040310|score=76,,ET041301,auto:global(score=90) -> Ameya
Chida Town Admininistration,South West Ethiopia Region,Konta Zone,chida town admininistration,Chila|Tigray/Central|ET010201|score=72 ;; Isara|South West Ethiopia/Dawuro|ET110405|score=72 ;; Bati|Amhara/Oromia|ET031002|score=67,,ET110405,auto:in_region(score=72) -> Isara
Ela Hanchano woreda,South West Ethiopia Region,Konta Zone,ela hanchano,Dano|Oromia/West Shewa|ET040507|score=77 ;; Anchar|Oromia/West Hararge|ET040906|score=75 ;; Wacha|South West Ethiopia/Kefa|ET110214|score=72,,ET110214,auto:in_region(score=72) -> Wacha
Bachuma Town Administration,South West Ethiopia Region,West Omo Zone,bachuma,Homa|Oromia/West Wellega|ET040117|score=67 ;; Wacha|South West Ethiopia/Kefa|ET110214|score=66 ;; Bishan Guracha|Oromia/West Arsi|ET041798|score=65,,,auto:no_match_above_floor -> null climate
Jemu Town Administration,South West Ethiopia Region,West Omo Zone,jemu,Kiremu|Oromia/East Wellega|ET040217|score=77 ;; Jeju|Oromia/Arsi|ET040804|score=75 ;; Sede Muja|Amhara/South Gondar|ET030214|score=67,,,auto:no_match_above_floor -> null climate
Suri Woreda,South West Ethiopia Region,West Omo Zone,suri,Suro Berguda|Oromia/West Guji|ET041594|score=77 ;; Dessie Zuria|Amhara/South Wello|ET030409|score=67 ;; Bahirdar Zuria|Amhara/West Gojam|ET030702|score=67,,,auto:no_match_above_floor -> null climate
Ahsia Woreda,Tigray Region,Central Zone,ahsia,Ahsea|Tigray/Central|ET010215|score=80 ;; Sahila|Amhara/Wag Hamra|ET030806|score=72 ;; Sasiga|Oromia/East Wellega|ET040211|score=72,,ET010215,auto:in_region(score=80) -> Ahsea
Endaba Tsahma Woreda,Tigray Region,Central Zone,endaba tsahma,Homa|Oromia/West Wellega|ET040117|score=77 ;; Dabat|Amhara/North Gondar|ET030105|score=72 ;; Adaba|Oromia/West Arsi|ET041710|score=72,,,auto:no_match_above_floor -> null climate
Maykenetal woreda,Tigray Region,Central Zone,maykenetal,Tenta|Amhara/South Wello|ET030402|score=72 ;; Kewet|Amhara/North Shewa (AM)|ET030512|score=72 ;; Aykel town|Amhara/Central Gondar|ET031199|score=72,,,auto:no_match_above_floor -> null climate
Atsibi Endaslasie Town,Tigray Region,Eastern Zone,atsibi endaslasie,Atsbi|Tigray/Eastern|ET010307|score=80 ;; Sire|Oromia/Arsi|ET040820|score=77 ;; Size town|South West Ethiopia/Bench Sheko|ET110308|score=77,,ET010307,auto:in_region(score=80) -> Atsbi
Erop Woreda,Tigray Region,Eastern Zone,erop,Adi Daero|Tigray/North Western|ET010111|score=77 ;; Hamero|Somali/Erer|ET050404|score=77 ;; Hadero town|Central Ethiopia/Kembata Tembaro|ET070312|score=77,,ET010111,auto:in_region(score=77) -> Adi Daero
Freweini Town,Tigray Region,Eastern Zone,freweini,[SUGGESTED] Freweyni town|Tigray/Eastern|ET010313|score=87 ;; Freweyni town|Tigray/Eastern|ET010313|score=87 ;; Ginir|Oromia/East Bale|ET042103|score=67 ;; Mendi town|Oromia/West Wellega|ET040198|score=60,ET010313,ET010313,auto:suggested(82-87)
Gerealta Woreda,Tigray Region,Eastern Zone,gerealta,[SUGGESTED] Geraleta|Tigray/Eastern|ET010317|score=87 ;; Geraleta|Tigray/Eastern|ET010317|score=87 ;; Gera|Oromia/Jimma|ET040408|score=77 ;; Gewata|South West Ethiopia/Kefa|ET110203|score=71,ET010317,ET010317,auto:suggested(82-87)
Klite Awlaelo Woreda,Tigray Region,Eastern Zone,klite awlaelo,Kelete Awelallo|Tigray/Eastern|ET010306|score=78 ;; Sawla town|Southern Ethiopi/Gofa|ET071507|score=76 ;; Awabel|Amhara/East Gojam|ET030612|score=75,,ET010306,auto:in_region(score=78) -> Kelete Awelallo
Tsiraewomberta Woreda,Tigray Region,Eastern Zone,tsiraewomberta,Merti|Oromia/Arsi|ET040801|score=72 ;; Wembera|Benishangul Gumz/Metekel|ET060203|score=69 ;; Atsbi|Tigray/Eastern|ET010307|score=67,,,auto:no_match_above_floor -> null climate
Adi Haki Woreda,Tigray Region,Mekelle Zone,adi haki,Hakim|Harari/Harari|ET130104|score=80 ;; Abi Adi town|Tigray/Central|ET010211|score=76 ;; Adiss Kidame town|Amhara/Awi|ET030910|score=67,,ET010211,auto:in_region(score=76) -> Abi Adi town
Ayder Woreda,Tigray Region,Mekelle Zone,ayder,Naeder|Tigray/Central|ET010209|score=72 ;; Afdera|Afar/Kilbati /Zone2|ET020207|score=72 ;; Wadera|Oromia/Guji|ET041404|score=72,,ET010209,auto:in_region(score=72) -> Naeder
Hadnet Woreda,Tigray Region,Mekelle Zone,hadnet,Adet|Tigray/Central|ET010207|score=80 ;; Adete town|Amhara/West Gojam|ET030799|score=72 ;; Hudet|Somali/Daawa|ET051104|score=72,,ET010207,auto:in_region(score=80) -> Adet
Hawelti Woreda,Tigray Region,Mekelle Zone,hawelti,Hawela|Sidama/Sidama|ET160023|score=76 ;; Dawe|Afar/Hari /Zone 5|ET020503|score=67 ;; Pawe|Benishangul Gumz/Metekel|ET060206|score=67,,,auto:no_match_above_floor -> null climate
Qedamay Woyane Woreda,Tigray Region,Mekelle Zone,qedamay woyane,Dama|Oromia/Guji|ET041408|score=90 ;; Adama|Oromia/East Shewa|ET040703|score=72 ;; Dima (TG)|Tigray/North Western|ET010115|score=67,,ET041408,auto:global(score=90) -> Dama
Quiha Woreda,Tigray Region,Mekelle Zone,quiha,Gendawuha town|Amhara/West Gondar|ET031292|score=67 ;; Qubi|Somali/Erer|ET050497|score=66 ;; Tanqua Melashe|Tigray/Central|ET010222|score=64,,,auto:no_match_above_floor -> null climate
Semen Woreda,Tigray Region,Mekelle Zone,semen,Semen Achefer|Amhara/West Gojam|ET030701|score=90 ;; Semen Bench|South West Ethiopia/Bench Sheko|ET110305|score=90 ;; Adiss Zemen town|Amhara/South Gondar|ET030299|score=80,,ET030701,auto:global(score=90) -> Semen Achefer
Laelay Qoraro Woreda Health Office,Tigray Region,North Western Zone,laelay qoraro,Lare|Gambela/Nuwer|ET120102|score=77 ;; Asela town|Oromia/Arsi|ET040825|score=72 ;; Siraro|Oromia/West Arsi|ET041701|score=72,,,auto:no_match_above_floor -> null climate
Maekelay Adeyabo,Tigray Region,North Western Zone,maekelay adeyabo,Mekdela|Amhara/South Wello|ET030421|score=77 ;; Babo|Oromia/West Wellega|ET040111|score=77 ;; Ambo town|Oromia/West Shewa|ET040515|score=77,,,auto:no_match_above_floor -> null climate
Shire Endasilase Woreda,Tigray Region,North Western Zone,shire endasilase,Chire|Sidama/Sidama|ET160014|score=76 ;; Indasilassie town|Tigray/North Western|ET010108|score=74 ;; Sire|Oromia/Arsi|ET040820|score=73,,ET010108,auto:in_region(score=74) -> Indasilassie town
Adigudem Town,Tigray Region,South Eastern Zone,adigudem,[SUGGESTED] Adigudom|Tigray/South Eastern|ET010607|score=87 ;; Dig|Somali/Jarar|ET050399|score=90 ;; Adigudom|Tigray/South Eastern|ET010607|score=87 ;; Diga|Oromia/East Wellega|ET040210|score=67,ET010607,ET010607,auto:suggested(82-87)
Seharti Woreda,Tigray Region,South Eastern Zone,seharti,[SUGGESTED] Saharti|Tigray/South Eastern|ET010601|score=85 ;; Saharti|Tigray/South Eastern|ET010601|score=85 ;; Charati|Somali/Afder|ET050802|score=71 ;; Hara town|Amhara/North Wello|ET030306|score=67,ET010601,ET010601,auto:suggested(82-87)
Wajerat Wereda,Tigray Region,South Eastern Zone,wajerat,[SUGGESTED] Wajirat|Tigray/South Eastern|ET010608|score=85 ;; Wajirat|Tigray/South Eastern|ET010608|score=85 ;; Wadera|Oromia/Guji|ET041404|score=76 ;; Wera|Central Ethiopia/Halaba|ET071402|score=72,ET010608,ET010608,auto:suggested(82-87)
Neksege Woreda,Tigray Region,Southern Zone,neksege,[SUGGESTED] Neqsege|Tigray/Southern|ET010403|score=85 ;; Neqsege|Tigray/Southern|ET010403|score=85 ;; Nekemte town|Oromia/East Wellega|ET040297|score=71 ;; Abeshege|Central Ethiopia/Guraghe|ET070102|score=66,ET010403,ET010403,auto:suggested(82-87)
